a,b,country_a,country_b,same_country,n_items,items,opposing
Cleveland crime family,Trafficante crime family,United States,United States,True,6,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
New Orleans crime family,Patriarca crime family,United States,United States,True,6,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Chicago Outfit']
Genovese crime family,San Jose crime family,United States,United States,True,6,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",['Bonanno crime family']
Bufalino crime family,New Orleans crime family,United States,United States,True,6,"['Buffalo crime family', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Genovese crime family']
Detroit Partnership,Kansas City crime family,United States,United States,True,6,"['Chicago Outfit', 'Cleveland crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family', 'St. Louis crime family']",[]
Genovese crime family,Kansas City crime family,United States,United States,True,6,"['Chicago Outfit', 'Cleveland crime family', 'Dallas crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
'Ndrina Cataldo,Aquino 'ndrina,Italy,Italy,True,6,"[""'Ndrina Cordì"", ""'Ndrina Ierinò"", ""'Ndrina Lo Presti"", ""'Ndrina Morabito"", ""'Ndrina Pesce"", ""Commisso 'ndrina""]","[""'Ndrina Cordì""]"
Dallas crime family,Los Angeles crime family,United States,United States,True,6,"['Chicago Outfit', 'Genovese crime family', 'Kansas City crime family', 'New Orleans crime family', 'San Francisco crime family', 'San Jose crime family']",[]
Clan Russo dei Quartieri Spagnoli,Nuova Famiglia,Italy,Italy,True,5,"['Cesarano clan', 'Clan Fabbrocino', 'Clan Mazzarella', 'Clan Misso', 'Moccia clan']",['Clan Fabbrocino']
'Ndrangheta,Cali Cartel,Italy,Colombia,False,5,"['Big Circle Gang', 'Camorra', 'Cuntrera-Caruana Mafia clan', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,Mexican Mafia,Italy,United States,False,5,"['American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
'Ndrangheta,Oficina de Envigado,Italy,Colombia,False,5,"['American Mafia', 'Autodefensas Unidas de Colombia', 'Clan del Golfo', 'Los Zetas', 'Sinaloa Cartel']",['Clan del Golfo']
'Ndrangheta,West End Gang,Italy,Canada,False,5,"['American Mafia', 'Hells Angels Motorcycle Club', 'Rizzuto crime family', ""Satan's Choice Motorcycle Club"", 'Sinaloa Cartel']",[]
