a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
14K,Rizzuto crime family,China,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Luppino crime family']
Atlantic Guards,Empire Guards,United States,,,1,['Bowery Boys'],1,['Dead Rabbits']
Bandidos Motorcycle Club,Red Scorpions,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cártel de Jalisco Nueva Generación,Organización Beltrán Leyva,Mexico,,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Satan Disciples,Simon City Royals,,United States,,1,['Spanish Gangster Disciples'],1,['Taylor Street Jousters']
Gulf Cartel,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Haqqani network,Lashkar-e-Islam,,,,1,['Taliban'],1,['Tehreek-e-Taliban Pakistan']
Gambino crime family,Tanglewood Boys,United States,United States,True,1,['Lucchese crime family'],1,['Genovese crime family']
Barrio Azteca,Mara Salvatrucha,United States,United States,True,1,['Los Zetas'],1,['Mexican Mafia']
Empire Guards,True Blue Americans,,,,1,['Bowery Boys'],1,['Dead Rabbits']
Latin Counts,Mickey Cobras,United States,United States,True,1,['Almighty Vice Lord Nation'],1,['Maniac Latin Disciples']
Rinaldi clan,Vollaro clan,Italy,Italy,True,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Clan Matrone,Clan Mazzarella,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
DeCavalcante crime family,Rudaj Organization,United States,United States,True,1,['Gambino crime family'],1,['Gambino crime family']
Clan De Luca Bossa,Formicola clan,Italy,,,1,['Rinaldi clan'],1,['Clan Mazzarella']
Bloods,Colombo crime family,United States,United States,True,1,['Gambino crime family'],1,['Bonanno crime family']
Bala na Cara,Guardiões do Estado,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
Clan Papale,Vollaro clan,,Italy,,1,['Clan Ascione'],1,['Clan Birra-Iacomino']
Al-Shabaab,Harakat Hezbollah al-Nujaba,Somalia,,,1,['Houthis'],1,['Islamic State']
Clan Matrone,Sicilian Mafia,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Devils Diciples Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Devils Diciples Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Almighty Black P. Stone Nation,Dead Man Incorporated,United States,United States,True,1,['Black Guerrilla Family'],1,['Aryan Brotherhood']
Prisoners of War MC,Satudarah,,Netherlands,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Armenian Power,Gulf Cartel,United States,Mexico,False,1,['Mexican Mafia'],1,['18th Street Gang']
East Side Longos,Mara Salvatrucha,,United States,,1,['Mexican Mafia'],1,['Tiny Rascal Gang']
Clan Gionta,Moccia clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Alfieri clan']
Mongols MC,Sons of Satan Motorcycle Club,United States,United States,True,1,"[""Pagan's Motorcycle Club""]",1,['Hells Angels Motorcycle Club']
La Familia Michoacana,Los Choneros,Mexico,Ecuador,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Bonde dos 13,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
'Ndrina Piromalli,Contini clan,Italy,Italy,True,1,"[""Commisso 'ndrina""]",1,"[""'Ndrina Giuliano""]"
Black Pistons Motorcycle Club,Rock Machine Motorcycle Club,Germany,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Ajnad al-Sham Islamic Union,Jaysh al-Islam,,,,1,['Ahrar al-Sham'],1,['Islamic State']
Clan Abbinante,Girati della Vanella Grassi,Italy,,,1,['Clan Di Lauro'],1,['Amato-Pagano clan']
Knights Templar Cartel,Los Ninis,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Beltrán-Leyva Organization']
Beltrán-Leyva Organization,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Los Ciclones,Los Mexicles,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Juárez Cartel']
La Unión Tepito,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Independent Soldiers,Loners Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan del Golfo,Fuerza Anti-Unión,Colombia,Mexico,False,1,['Cártel de Jalisco Nueva Generación'],1,['Tren de Aragua']
Diablos Motorcycle Club,Independent Soldiers,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Manitoba Warriors,New Zealand Nomads,Canada,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Hell's Henchmen MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Black Pistons Motorcycle Club,Mongols MC,Germany,United States,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Carone,Carones 'ndrina,,,,1,"[""'Ndrina Mancuso""]",1,"[""'Ndrina La Rosa""]"
Luppino crime family,Philadelphia crime family,Canada,United States,False,1,['Bonanno crime family'],1,['Hells Angels Motorcycle Club']
Cártel de Jalisco Nueva Generación,Norteños,Mexico,United States,False,1,['Nuestra Familia'],1,['Logan Heights Gang']
Los Pelones,Los Zetas,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Gente Nueva']
Clan Abbinante,Notturno clan,Italy,,,1,['Amato-Pagano clan'],1,['Amato-Pagano clan']
Para-Dice Riders,Sons of Silence,,United States,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Dhak-Duhre group,Sinaloa Cartel,,Mexico,,1,['United Nations (gang)'],1,['Wolfpack Alliance']
Chiapas–Guatemala Cartel,Tren de Aragua,Mexico,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Aryan Brotherhood,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Satudarah,United Nations (gang),Netherlands,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
American Mafia,Contini clan,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Los Choneros,Los Viagras,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Comando Classe A,Terceiro Comando Puro,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Morbids MC,Rock Machine Motorcycle Club,,Canada,,1,['Bandidos Motorcycle Club'],1,['Rebels Motorcycle Club']
Cártel de los Rojos,Grupo Flechas,Mexico,Mexico,True,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
Hop Sing Boys,Sun Yee On,,Hong Kong,,1,['Wo Hop To'],1,['Wah Ching']
Camorra clan Zaza,Clan Matrone,,Italy,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
'Ndrina Mammoliti,'Ndrina Rosmini,Italy,Italy,True,1,"[""'Ndrina De Stefano""]",1,"[""'Ndrina De Stefano""]"
Família Terror do Amapá,Os Manos,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Latin Kings,Los Negros,United States,Mexico,False,1,['Sinaloa Cartel'],1,['Mara Salvatrucha']
Black Dragons,Sun Yee On,United States,Hong Kong,False,1,['Wah Ching'],1,['Wah Ching']
Barrio Azteca,Los Viagras,United States,Mexico,False,1,['Beltrán-Leyva Organization'],1,['Cártel de Jalisco Nueva Generación']
Guardiões do Estado,Primeiro Grupo Catarinense,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
Manitoba Warriors,Mexican Mafia,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Muerte a Secuestradores,National Liberation Army (Colombia),Colombia,Colombia,True,1,['Cartel de Medellín'],1,['Revolutionary Armed Forces of Colombia']
Outcasts MC,Satan's Choice Motorcycle Club,,Canada,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
New Zealand Nomads,Red Scorpions,New Zealand,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
18th Street Gang,Los Mexicles,United States,Mexico,False,1,['Mexican Mafia'],1,['Gulf Cartel']
Cheetham Hill Gang,Pit Bull Crew,United Kingdom,,,1,['Gooch Close Gang'],1,['Doddington gang']
Chicanos Motorcycle Club,Outlaws Motorcycle Club,Germany,United States,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Old Trafford Cripz,Pit Bull Crew,,,,1,['Gooch Close Gang'],1,['Longsight Crew']
'Ndrina Pesce,Camorra,Italy,Italy,True,1,['Gulf Cartel'],1,"[""'Ndrina Bellocco""]"
Dead Man Incorporated,Nuestra Familia,United States,United States,True,1,['Black Guerrilla Family'],1,['Aryan Brotherhood']
Armenian Power,Tren de Aragua,United States,Venezuela,False,1,['American Mafia'],1,['18th Street Gang']
Outlaws Motorcycle Club,Popeye Moto Club,United States,Canada,False,1,['Grim Reapers Motorcycle Club (Canada)'],1,"[""Satan's Choice Motorcycle Club""]"
Merciless Souls Motorcycle Club,Mongols MC,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Native Mob,Trinitarios,United States,United States,True,1,['Bloods'],1,['Black Gangster Disciples Nation']
Clan Brunetti,Rinaldi clan,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Coffin Cheaters,New Zealand Nomads,Australia,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Mongrel Mob']
Nuova camorra pugliese,Sicilian Mafia,Italy,Italy,True,1,"[""'Ndrangheta""]",1,['Nuova Camorra Organizzata']
Islamic State,Jama'at Nasr al-Islam wal-Muslimin,Iraq,,,1,['Taliban'],1,['Wagner Group']
Outcasts MC,Satan's Slaves MC,,,,1,['Lone Legion Brotherhood'],1,['Hells Angels Motorcycle Club']
Independent Cartel of Acapulco,South Pacific Cartel,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Sinaloa Cartel']
Big Circle Gang,Sex Money Murder,China,United States,False,1,['Mara Salvatrucha'],1,['Crips']
Sinaloa Cartel,Venice 13,Mexico,United States,False,1,['Mexican Mafia'],1,['18th Street Gang']
Alfieri clan,American Mafia,Italy,United States,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Aryan Brotherhood,United Nations (gang),United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
'Ndrina Iamonte,'Ndrina Rosmini,Italy,Italy,True,1,"[""'Ndrina Serraino""]",1,"[""'Ndrina Barreca""]"
Chicanos Motorcycle Club,New Zealand Nomads,Germany,New Zealand,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Original Red Devils Motorcycle Club,Warlocks MC,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bandidos Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Minore Mafia clan,Santa Maria di Gesù Family,Italy,,,1,['Catania Mafia family'],1,['Corleonesi']
Cannonball Motorcycle Club,Mongols MC,Finland,United States,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Fukuhaku-kai,Kyosei-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Asian Boyz,Killer Beez,United States,New Zealand,False,1,['Crips'],1,['Bloods']
Kyushu Seido-kai,Toa-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Dojin-kai']
Latin Kings,Pirus,United States,United States,True,1,['Bloods'],1,['Crips']
Crips,Hidden Valley Kings,United States,United States,True,1,['Zoe Pound'],1,['United Blood Nation']
White Boy Posse,Zig Zag Crew,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Indian Posse']
Logan Heights Gang,Tongan Crip Gang,United States,United States,True,1,['18th Street Gang'],1,['Mara Salvatrucha']
Bonde dos 13,Massa Carcerária,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Clan Sarno,Lo Russo clan,Italy,Italy,True,1,['Amato-Pagano clan'],1,['Secondigliano Alliance']
Cártel del Noreste,Los Talibanes,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Cártel de Jalisco Nueva Generación']
Cártel de Santa Rosa de Lima,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
'Ndrina Giuliano,Formicola clan,Italy,,,1,['Rinaldi clan'],1,['Clan Mazzarella']
Aryan Brotherhood,Diablos Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cártel de Jalisco Nueva Generación,Los Muertos,Mexico,,,1,['Juárez Cartel'],1,['Gente Nueva']
La Raza Nation,Sex Money Murder,United States,United States,True,1,['Mara Salvatrucha'],1,['Black Gangster Disciples Nation']
Asian Boyz,Black Power (New Zealand gang),United States,New Zealand,False,1,['Crips'],1,['Bloods']
Sons of Silence,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Independent Soldiers,Satan's Choice Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
People Nation,Pirus,United States,United States,True,1,['Bloods'],1,['Crips']
Guerreros Unidos,Los Talibanes,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Cártel de Jalisco Nueva Generación']
Bonde dos 40,Os Manos,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Dark Circle,Palmers MC,,,,1,['Rock Machine Motorcycle Club'],1,['Rockers Motor Club']
10th & Oregon Crew,Gambino crime family,United States,United States,True,1,['Philadelphia crime family'],1,['Philadelphia crime family']
DeCavalcante crime family,Velentzas Organization,United States,United States,True,1,['Lucchese crime family'],1,['Gambino crime family']
Forty-Two Gang,Milwaukee crime family,United States,United States,True,1,['Chicago Outfit'],1,['Chicago Outfit']
Fuerza Anti-Unión,La Línea,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Black Pistons Motorcycle Club,Breed Motorcycle Club,Germany,United States,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Los Lobos,Los Metros,Ecuador,Mexico,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Amal Movement,Palestinian Islamic Jihad,,Palestine,,1,['Hezbollah'],1,['Islamic State']
Bonde dos 13,Guardiões do Estado,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Warlocks MC,Warlocks Motorcycle Club (Florida),,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Okaida,Terceiro Comando Puro,,Brazil,,1,['Bonde dos 40'],1,['Comando Vermelho']
Al-Nusra Front,Boko Haram,Syria,Nigeria,False,1,['Islamic State'],1,['Islamic State']
Satudarah,Sons of Silence,Netherlands,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
La Unión Tepito,Los Choneros,Mexico,Ecuador,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Alkhalil family,United Nations (gang),Palestine,Canada,False,1,['Sinaloa Cartel'],1,['Hells Angels Motorcycle Club']
'Ndrina Carone,Piserà 'ndrina,,Italy,,1,"[""'Ndrina Mancuso""]",1,"[""'Ndrina La Rosa""]"
MOB Squad,Zig Zag Crew,,,,1,['Manitoba Warriors'],1,['Indian Posse']
'Ndrina Mammoliti,Condello-Rosmini-Imerti,Italy,,,1,"[""'Ndrina La Maggiore""]",1,"[""'Ndrina De Stefano""]"
Chiapas–Guatemala Cartel,Los Chapitos,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['La Mayiza']
Pit Bull Crew,Rusholme Crew Gangsters,,,,1,['Gooch Close Gang'],1,['Doddington gang']
Red Scorpions,Satan's Choice Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Commisso 'ndrina,United Nations (gang),Italy,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Independent Soldiers']
Aryan Brotherhood,Satudarah,United States,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Massa Carcerária,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Los Zetas,Organización Beltrán Leyva,Mexico,,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Hell's Henchmen MC,Loners Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Latin Kings,Zoe Pound,United States,United States,True,1,['Bloods'],1,['Mara Salvatrucha']
Los Mazatlecos,Los Rusos,Mexico,,,1,['La Mayiza'],1,['Los Chapitos']
Comando Classe A,Massa Carcerária,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Beltrán-Leyva Organization,Tongan Crip Gang,Mexico,United States,False,1,['18th Street Gang'],1,['Mara Salvatrucha']
Culver City Boys,Sinaloa Cartel,United States,Mexico,False,1,['Mexican Mafia'],1,['18th Street Gang']
Gulf Cartel,Organización Beltrán Leyva,Mexico,,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Bonde do Maluco,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
La Familia Michoacana,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Cártel de Jalisco Nueva Generación']
Knights Templar Cartel,Los Choneros,Mexico,Ecuador,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Bloods,La Raza Nation,United States,United States,True,1,['Crips'],1,['Black Gangster Disciples Nation']
Moro Islamic Liberation Front,Moro National Liberation Front,,,,1,['Abu Sayyaf'],1,['Jemaah Islamiyah']
Puro Tango Blast,Sinaloa Cartel,United States,Mexico,False,1,['Gulf Cartel'],1,['Barrio Azteca']
Original Red Devils Motorcycle Club,Satan's Choice Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Doghmush clan,Hezbollah,Palestine,Lebanon,False,1,['Al-Qaeda'],1,['Hamas']
Hell's Henchmen MC,Warlocks MC,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Mara Salvatrucha,Puro Tango Blast,United States,United States,True,1,['Gulf Cartel'],1,['Crips']
Almighty Saints,Bloods,United States,United States,True,1,['Latin Kings'],1,['Black Gangster Disciples Nation']
Chiapas–Guatemala Cartel,La Unión Tepito,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Camorra clan Zaza,Sicilian Mafia,,Italy,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Ajnad al-Sham Islamic Union,Al-Nusra Front,,Syria,,1,['Ahrar al-Sham'],1,['Islamic State']
Bonanno crime family,Crips,United States,United States,True,1,['Gambino crime family'],1,['Bloods']
Norteños,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Mara Salvatrucha']
Al-Nusra Front,Al-Qaeda in the Islamic Maghreb,Syria,Algeria,False,1,['Al-Qaeda in the Arabian Peninsula'],1,['Islamic State']
La Mayiza,Nueva Plaza Cartel,,Mexico,,1,['Grupo Flechas'],1,['Cártel de Jalisco Nueva Generación']
Amirante clan,Vollaro clan,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Clan Cappello,Mazzei clan,Italy,,,1,['Clan dei Cursoti'],1,['Catania Mafia family']
856 Gang,Aryan Brotherhood,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
El Forastero Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Clan Fabbrocino,Contini clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Annihilators Motorcycle Club,Outcasts MC,Canada,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Club Deroes,Hells Angels Motorcycle Club,,United States,,1,['Coffin Cheaters'],1,['Mongrel Mob']
Bonde dos 40,Comando Classe A,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Mexikanemi,Nazi Lowriders,United States,United States,True,1,['Mexican Mafia'],1,['Nuestra Familia']
