a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Aryan Brotherhood,Outlaws Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Aryan Nations', 'Chicago Outfit']",1,['Hells Angels Motorcycle Club']
Barrio Azteca,Los Negros,United States,Mexico,False,2,"['Juárez Cartel', 'Los Zetas']",2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
18th Street Gang,Aryan Brotherhood,United States,United States,True,1,['Mexican Mafia'],3,"['Almighty Black P. Stone Nation', 'Crips', 'Norteños']"
Norteños,Sinaloa Cartel,United States,Mexico,False,2,"['Crips', 'Latin Kings']",2,"['18th Street Gang', 'Logan Heights Gang']"
Commisso 'ndrina,Luppino crime family,Italy,Canada,False,2,"['Buffalo crime family', 'Cotroni crime family']",2,"['Independent Soldiers', 'Rizzuto crime family']"
Almighty Gaylords Nation,Latin Counts,United States,United States,True,2,"['Almighty Vice Lord Nation', 'Latin Brothers']",2,"['Insane Deuces', 'Maniac Latin Disciples']"
Gypsy Joker Motorcycle Club,Mongols MC,United States,United States,True,1,['Outlaws Motorcycle Club'],3,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongrel Mob']"
Clan Galasso di Poggiomarino,Contini clan,Italy,Italy,True,3,"['Cesarano clan', 'Moccia clan', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Almighty Black P. Stone Nation,Nuestra Familia,United States,United States,True,3,"['Black Guerrilla Family', 'Bloods', 'Latin Kings']",1,['Aryan Brotherhood']
Alfieri clan,Contini clan,Italy,Italy,True,3,"['Cesarano clan', 'Moccia clan', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Milwaukee crime family,New Orleans crime family,United States,United States,True,3,"['Chicago Outfit', 'Cleveland crime family', 'Kansas City crime family']",1,['Chicago Outfit']
Redd Alert,Wolfpack Alliance,Canada,Canada,True,3,"['Brothers Keepers', 'Hells Angels Motorcycle Club', 'Independent Soldiers']",1,['United Nations (gang)']
'Ndrina Giuliano,Clan Galasso di Poggiomarino,Italy,Italy,True,3,"['Clan Nuvoletta', 'Clan dei Casalesi', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Knights Templar Cartel,Mexican Mafia,Mexico,United States,False,2,"['Gulf Cartel', 'Sinaloa Cartel']",2,"['Los Zetas', 'Mara Salvatrucha']"
Hezbollah,Wagner Group,Lebanon,Russia,False,2,"['Hamas', 'Islamic Revolutionary Guard Corps']",2,"['Al-Nusra Front', 'Islamic State']"
Crips,Los Zetas,United States,Mexico,False,1,['Sinaloa Cartel'],3,"['18th Street Gang', 'Mara Salvatrucha', 'Mexican Mafia']"
Bloods,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],3,"['Crips', ""Dominicans Don't Play"", 'Mara Salvatrucha']"
Trinitarios,United Blood Nation,United States,United States,True,1,['Bloods'],3,"['Crips', ""Dominicans Don't Play"", 'Ñetas']"
Crips,Simon City Royals,United States,United States,True,1,['Black Gangster Disciples Nation'],3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']"
Clan Fabbrocino,Vollaro clan,Italy,Italy,True,3,"['Clan Ascione', 'Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Hezbollah,Liwa Fatemiyoun,Lebanon,,,1,['Houthis'],3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']"
Cártel de los Rojos,Los Negros,Mexico,Mexico,True,1,['Los Zetas'],3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'La Familia Michoacana']"
Buffalo crime family,East Harlem Purple Gang,United States,United States,True,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",1,['Bonanno crime family']
Chicago Outfit,Rochester crime family,United States,United States,True,3,"['Bonanno crime family', 'Buffalo crime family', 'Pittsburgh crime family']",1,['Buffalo crime family']
La Línea,Los Metros,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",2,"['Cártel del Noreste', 'Sinaloa Cartel']"
Los Choneros,Tren de Aragua,Ecuador,Venezuela,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Primeiro Comando da Capital']",1,['Los Tiguerones']
Almighty Black P. Stone Nation,Native Mob,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",1,['Black Gangster Disciples Nation']
Guadalajara Cartel,Milenio Cartel,Mexico,Mexico,True,3,"['Cartel de Medellín', 'Cártel de Colima', 'Sinaloa Cartel']",1,['Gulf Cartel']
Bufalino crime family,Lucchese crime family,United States,United States,True,3,"['Buffalo crime family', 'Genovese crime family', 'Philadelphia crime family']",1,['Genovese crime family']
'Ndrina Giuliano,Clan Fabbrocino,Italy,Italy,True,3,"['Clan Mazzarella', 'Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
'Ndrina Barbaro,'Ndrina De Stefano,Italy,Italy,True,3,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro""]",1,"[""'Ndrina Mammoliti""]"
Almighty Gaylords Nation,Four Corner Hustlers,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",1,['Maniac Latin Disciples']
Black Gangster Disciples Nation,Spanish Cobras,United States,United States,True,1,['Latin Eagles'],3,"['Latin Eagles', 'Latin Kings', 'People Nation']"
